DR,Hvannar,Hvannars
DR,Hylur,Hyls
DR,Immanúel,Immanúels
ST,Immý,Immýjar
ST,Irmelín,Irmelínar
DR,Issi,Issis
DR,Ígor,Ígors
ST,Ísalind,Ísalindar
DR,Ísbjörn,Ísbjarnar
DR,Íseldur,Íselds
ST,Ísidóra,Ísidóru
DR,Ísmar,Ísmars
ST,Ísmey,Ísmeyjar
ST,Íssól,Íssólar
DR,Jack,Jacks
DR,Jamil,Jamils
ST,Jane,Janear
ST,Jannika,Janniku
ST,Jarún,Jarúnar
DR,Járngrímur,Járngríms
ST,Jenetta,Jenettu
ST,Jenny,Jennyjar
DR,Joshua,Joshua
ST,Jovina,Jovinu
DR,Jónar,Jónars
ST,Jóngerð,Jóngerðar
ST,Júdea,Júdeu
ST,Júlírós,Júlírósar
DR,Jörfi,Jörfa
DR,Jörri,Jörra
DR,Kakali,Kakala
DR,Kaktus,Kaktusar
DR,Kamal,Kamals
DR,Karim,Karims
DR,Karkur,Karks
ST,Karmen,Karmenar
ST,Karó,Karóar
DR,Kaspar,Kaspars
ST,Kassandra,Kassöndru
DR,Kastíel,Kastíels
ST,Katerína,Katerínu
ST,Katharina,Katharinu
ST,Katrína,Katrínu
ST,Kellý,Kellýjar
ST,Kendra,Kendru
DR,Keran,Kerans
ST,Kira,Kiru
ST,Kía,Kíu
DR,Kjói,Kjóa
DR,Koggi,Kogga
ST,Korka,Korku
ST,Kókó,Kókóar
DR,Kris,Kris
ST,Kristin,Kristinar
DR,Kristofer,Kristofers
ST,Kristý,Kristýjar
ST,Krumma,Krummu
ST,Kæja,Kæju
DR,Laugi,Lauga
DR,Lárent,Lárents
ST,Leila,Leilu
DR,Leo,Leos
ST,Leóna,Leónu
DR,Lér,Lérs
ST,Liljurós,Liljurósar
ST,Lilla,Lillu
ST,Lilly,Lillyar
ST,Lily,Lilyar
ST,Linddís,Linddísar
ST,Lingný,Lingnýjar
ST,Lisbeth,Lisbethar
ST,Líba,Líbu
DR,Ljósálfur,Ljósálfs
ST,Lokbrá,Lokbráar
DR,Lótus,Lótus
DR,Lundi,Lunda
ST,Lúna,Lúnu
DR,Lyngar,Lyngars
ST,Maía,Maíu
ST,Maísól,Maísólar
ST,Maj,Majar
ST,Malika,Maliku
ST,Malía,Malíu
DR,Manúel,Manúels
ST,Manúela,Manúelu
ST,Manúella,Manúellu
ST,Marela,Marelu
ST,Marella,Marellu
ST,Margot,Margotar
ST,Marían,Marían
ST,Maríon,Maríon
ST,Marísa,Marísu
ST,Marísól,Marísól
DR,Mark,Marks
DR,Markó,Markós
ST,Marlís,Marlísar
DR,Marri,Marra
DR,Marzilíus,Marzilíusar
ST,Matta,Möttu
ST,Matthilda,Matthildu
ST,Mattý,Mattýjar
ST,Maxima,Maximu
DR,Maximus,Maximusar
ST,Mára,Máru
ST,Melinda,Melindu
ST,Melissa,Melissu
DR,Melrakki,Melrakka
DR,Merkúr,Merkúrs
DR,Mildinberg,Mildinbergs
ST,Millý,Millýjar
ST,Minerva,Minervu
ST,Mímósa,Mímósu
DR,Míó,Míós
DR,Mír,Mírs
ST,Míríel,Míríelar
DR,Mjöllnir,Mjöllnis
DR,Moli,Mola
DR,Morgan,Morgans
DR,Mosi,Mosa
ST,Módís,Módísar
DR,Móði,Móða
DR,Móri,Móra
ST,Myrk,Myrkar
ST,Mýr,Mýrar
ST,Nadja,Nödju
ST,Naranja,Narönju
ST,Natalie,Natalie
DR,Nataníel,Nataníels
ST,Náð,Náðar
DR,Náttmörður,Náttmarðar
DR,Náttúlfur,Náttúlfs
ST,Nenna,Nennu
DR,Nenni,Nenna
ST,Nicole,Nicole
DR,Nikanor,Nikanors
ST,Nikíta,Nikítu
ST,Nikoletta,Nikolettu
ST,Níní,Níníjar
DR,Norbert,Norberts
ST,Norma,Normu
DR,Normann,Normanns
DR,Nóam,Nóams
DR,Nóel,Nóels
DR,Nóri,Nóra
ST,Obba,Obbu
ST,Olivia,Oliviu
ST,Ollý,Ollýjar
ST,Ora,Oru
DR,Orfeus,Orfeusar
ST,Orka,Orku
ST,Óðný,Óðnýjar
ST,Ófelía,Ófelíu
ST,Ótta,Óttu
ST,París,Parísar
ST,Patricia,Patriciu
ST,Patrisía,Patrisíu
DR,Pedró,Pedrós
ST,Petrós,Petrósar
ST,Pía,Píu
ST,Pría,Príu
ST,Ramóna,Ramónu
ST,Rannva,Rönnvu
ST,Rea,Reu
DR,Refur,Refs
ST,Rein,Reinar
DR,Rex,Rex
ST,Reyn,Reynar
DR,Rikki,Rikka
ST,Ripley,Ripleyjar
DR,Ríó,Ríós
DR,Ríó,Ríós
ST,Rorí,Roríjar
ST,Roxanna,Roxönnu
DR,Róman,Rómans
DR,Rómeó,Rómeós
ST,Róska,Rósku
DR,Runi,Runa
DR,Rúbar,Rúbars
ST,Rúbý,Rýbýjar
DR,Sandel,Sandels
ST,Sanna,Sönnu
ST,Santía,Santíu
ST,Sarína,Sarínu
ST,Sefanía,Sefaníu
DR,Seimur,Seims
ST,Selena,Selenu
ST,Serena,Serenu
ST,Sessilía,Sessilíu
DR,Sigur,Sigurs
